value,valueLabel,valueDescription,ct,valueAltLabel,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q3633488,Lobedu people,,1,,http://www.wikidata.org/entity/Q16015224,Mokope Modjadji
http://www.wikidata.org/entity/Q3635166,Nepali Indian,,1,,http://www.wikidata.org/entity/Q80732,Tenzing Norgay
http://www.wikidata.org/entity/Q364883,Scottish,Wikimedia disambiguation page,1,,http://www.wikidata.org/entity/Q1680084,"James Burnett, Lord Monboddo"
http://www.wikidata.org/entity/Q3692570,Belarusians in Ukraine,,1,,http://www.wikidata.org/entity/Q12086766,Ukrainian Belarusian
http://www.wikidata.org/entity/Q369870,Dzungar people,,1,,http://www.wikidata.org/entity/Q981162,Galdan Tseren
http://www.wikidata.org/entity/Q370543,Ngarrindjeri,,1,,http://www.wikidata.org/entity/Q29052588,Doreen Kartinyeri
http://www.wikidata.org/entity/Q370868,Yao people,government classification for various minorities in China,1,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q371230,Ngāi Tahu,,1,Kāi Tahu,http://www.wikidata.org/entity/Q7808817,Tipene O'Regan
http://www.wikidata.org/entity/Q3714491,Dothraki,A Song of Ice and Fire people,1,,http://www.wikidata.org/entity/Q5959381,Khal Drogo
http://www.wikidata.org/entity/Q371762,Yeniche people,social group,1,,http://www.wikidata.org/entity/Q122955,Ernst Lossa
http://www.wikidata.org/entity/Q3732778,Esan people,,1,,http://www.wikidata.org/entity/Q24713124,Adesua Etomi
http://www.wikidata.org/entity/Q3752558,Basque Argentine,,1,,http://www.wikidata.org/entity/Q12261131,Julián Azcárate
http://www.wikidata.org/entity/Q3757901,Al ash-Sheikh,Saudi Arabia's leading religious family,1,"Al al-Shaykh, Al ash-Shaikh, Al ash-Shaykh, Al-Shaykh",http://www.wikidata.org/entity/Q25336671,Tarfah bint Abdullah Al Sheikh
http://www.wikidata.org/entity/Q3804346,Italians in the United Kingdom,,1,,http://www.wikidata.org/entity/Q40228,Claire Forlani
http://www.wikidata.org/entity/Q381898,Aeta people,indigenous ethnic group,1,,http://www.wikidata.org/entity/Q7781054,Thelma Buchholdt
http://www.wikidata.org/entity/Q383256,Cham people,ethnic group in Southeast Asia,1,"Cham, Campa people",http://www.wikidata.org/entity/Q424,Cambodia
http://www.wikidata.org/entity/Q384927,Interior Salish,,1,,http://www.wikidata.org/entity/Q51695476,Marjorie Bear Don't Walk
http://www.wikidata.org/entity/Q3862296,Montenegrins in Albania,ethnic group,1,,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q3892207,Kami people,,1,,http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q3908410,Papora people,,1,,http://www.wikidata.org/entity/Q51101,Jolin Tsai
http://www.wikidata.org/entity/Q40184541,Micronesian people,ethnic group,1,Micronesians,http://www.wikidata.org/entity/Q691,Papua New Guinea
